Stimulus(s),S21(Real),S21(Imag)
6.38127625525E-08,-5.51254639932E-09,+4.59351171017E-08
6.40128025605E-08,+3.50954752484E-08,+4.23814255083E-08
6.42128425685E-08,+5.34554212945E-08,+7.68185759485E-09
6.44128825765E-08,+3.68647191369E-08,-2.38340774718E-08
6.46129225845E-08,+7.64644571985E-09,-2.82720416509E-08
6.48129625925E-08,-8.19478288003E-09,-1.42242042424E-08
6.50130026005E-08,-9.83403577077E-09,-3.04978621221E-09
6.52130426085E-08,-1.29240352368E-08,+1.44536628443E-09
6.54130826165E-08,-2.07966314839E-08,+1.29542264534E-08
6.56131226245E-08,-1.77836730775E-08,+3.62334106670E-08
6.58131626325E-08,+7.10020976611E-09,+5.41596725221E-08
6.60132026405E-08,+4.08050152357E-08,+4.71628099546E-08
6.62132426485E-08,+5.87956988313E-08,+1.80218641274E-08
6.64132826565E-08,+5.22894832211E-08,-1.15943451722E-08
6.66133226645E-08,+3.39115364821E-08,-2.66463795621E-08
6.68133626725E-08,+1.71219283151E-08,-3.10223442415E-08
6.70134026805E-08,+6.79410307212E-10,-3.26561918077E-08
6.72134426885E-08,-2.07817687186E-08,-2.68810393905E-08
6.74134826965E-08,-3.88527631073E-08,-4.22687964808E-09
6.76135227045E-08,-3.61055626781E-08,+2.90784795813E-08
6.78135627125E-08,-9.57849888647E-09,+5.05639681424E-08
6.80136027205E-08,+2.07862403668E-08,+4.60038027394E-08
6.82136427285E-08,+3.38232663057E-08,+2.65985576676E-08
6.84136827365E-08,+3.14192262874E-08,+1.38369355436E-08
6.86137227445E-08,+3.19804248146E-08,+1.12782663046E-08
6.88137627526E-08,+4.13011959834E-08,+2.15279349764E-09
6.90138027606E-08,+4.15050283033E-08,-2.27957478042E-08
6.92138427686E-08,+1.55170378993E-08,-4.55759335243E-08
6.94138827766E-08,-2.46995127986E-08,-3.90026238421E-08
6.96139227846E-08,-4.57841678648E-08,-1.56351849433E-09
6.98139627926E-08,-2.98757105152E-08,+3.65037714447E-08
7.00140028006E-08,+5.17866764391E-09,+4.55700099538E-08
7.02140428086E-08,+2.75340876277E-08,+2.74627149960E-08
7.04140828166E-08,+2.65784518694E-08,+7.49454921677E-09
7.06141228246E-08,+1.78190951547E-08,+1.20076175188E-09
7.08141628326E-08,+1.55821367266E-08,+2.06876642020E-10
7.10142028406E-08,+1.35133011250E-08,-7.38338819370E-09
7.12142428486E-08,-1.15165369622E-09,-1.43346373947E-08
7.14142828566E-08,-2.21771078639E-08,-2.86938404323E-09
7.16143228646E-08,-2.60663014971E-08,+2.72754748551E-08
7.18143628726E-08,-1.06859658330E-09,+5.15199141082E-08
7.20144028806E-08,+3.51112956103E-08,+4.64575554950E-08
7.22144428886E-08,+5.33815763819E-08,+1.64940667329E-08
7.24144828966E-08,+4.43269525772E-08,-1.26910846965E-08
7.26145229046E-08,+2.34844780594E-08,-2.37596340773E-08
7.28145629126E-08,+7.79063035279E-09,-2.17254886507E-08
7.30146029206E-08,-2.61310872923E-09,-1.79853498594E-08
7.32146429286E-08,-1.45926479918E-08,-1.14054155729E-08
7.34146829366E-08,-2.32753118093E-08,+5.69501980329E-09
7.36147229446E-08,-1.53122012371E-08,+2.77688965215E-08
7.38147629526E-08,+9.00369109351E-09,+3.53576110165E-08
7.40148029606E-08,+2.84003309163E-08,+1.90325731101E-08
7.42148429686E-08,+2.33972883072E-08,-4.37524901769E-09
7.44148829766E-08,+1.45701033837E-09,-8.85906760639E-09
