Stimulus(Hz),S11(dB)
4.62699486995E+07,-1.29250118379E-01
4.63599485995E+07,-1.34679458787E-01
4.64499484995E+07,-1.42157327830E-01
4.65399483995E+07,-1.34300863648E-01
4.66299482995E+07,-1.31028218452E-01
4.67199481995E+07,-1.41400834868E-01
4.68099480995E+07,-1.40542717830E-01
4.68999479995E+07,-1.31300235484E-01
4.69899478995E+07,-1.37119668286E-01
4.70799477995E+07,-1.44249419263E-01
4.71699476995E+07,-1.36036869415E-01
4.72599475995E+07,-1.33207995436E-01
4.73499474995E+07,-1.43759318988E-01
4.74399473995E+07,-1.42323057808E-01
4.75299472995E+07,-1.33310300726E-01
4.76199471995E+07,-1.39745715831E-01
4.77099470995E+07,-1.46717699466E-01
4.77999469995E+07,-1.38010750616E-01
4.78899468995E+07,-1.35357819545E-01
4.79799467995E+07,-1.46251910231E-01
4.80699466995E+07,-1.44668127202E-01
4.81599465995E+07,-1.35173608669E-01
4.82499464995E+07,-1.42177513897E-01
4.83399463995E+07,-1.48823663414E-01
4.84299462995E+07,-1.39710596926E-01
4.85199461995E+07,-1.37726424653E-01
4.86099460995E+07,-1.48754957020E-01
4.86999459995E+07,-1.46444769436E-01
4.87899458995E+07,-1.37267720802E-01
4.88799457995E+07,-1.44712891826E-01
4.89699456995E+07,-1.51205402278E-01
4.90599455995E+07,-1.41559052646E-01
4.91499454995E+07,-1.39947062779E-01
4.92399453995E+07,-1.51270472644E-01
4.93299452995E+07,-1.48333265661E-01
4.94199451995E+07,-1.39375085161E-01
4.95099450995E+07,-1.47213739484E-01
4.95999449994E+07,-1.53459422590E-01
4.96899448994E+07,-1.43660469605E-01
4.97799447994E+07,-1.42477308589E-01
4.98699446994E+07,-1.53689947520E-01
4.99599445994E+07,-1.50451100034E-01
5.00499444994E+07,-1.41265973959E-01
5.01399443994E+07,-1.49556938802E-01
5.02299442994E+07,-1.55659880711E-01
5.03199441994E+07,-1.45471759663E-01
5.04099440994E+07,-1.44703748187E-01
5.04999439994E+07,-1.56182283777E-01
5.05899438994E+07,-1.52431571938E-01
5.06799437994E+07,-1.43508074998E-01
5.07699436994E+07,-1.52116263473E-01
5.08599435994E+07,-1.57629226382E-01
5.09499434994E+07,-1.47369674517E-01
5.10399433994E+07,-1.47318622999E-01
5.11299432994E+07,-1.58654080429E-01
5.12199431994E+07,-1.54677954802E-01
5.13099430994E+07,-1.45633548646E-01
5.13999429994E+07,-1.55038214326E-01
5.14899428994E+07,-1.60186517892E-01
5.15799427994E+07,-1.49658759304E-01
5.16699426994E+07,-1.50159653055E-01
5.17599425994E+07,-1.61389738116E-01
5.18499424994E+07,-1.56625188025E-01
5.19399423994E+07,-1.48437619493E-01
5.20299422994E+07,-1.58195763410E-01
5.21199421994E+07,-1.62768169537E-01
5.22099420994E+07,-1.52258054661E-01
5.22999419994E+07,-1.53150427552E-01
5.23899418994E+07,-1.64454047132E-01
5.24799417994E+07,-1.59520656655E-01
5.25699416994E+07,-1.51331711920E-01
5.26599415994E+07,-1.61178032556E-01
5.27499414994E+07,-1.65456172229E-01
5.28399413994E+07,-1.54702337962E-01
5.29299412994E+07,-1.56069653545E-01
5.30199411994E+07,-1.67425747268E-01
5.31099410994E+07,-1.61518138556E-01
5.31999409994E+07,-1.53794683159E-01
5.32899408994E+07,-1.64060238000E-01
5.33799407994E+07,-1.67928793044E-01
5.34699406994E+07,-1.56550194575E-01
5.35599405994E+07,-1.58681062138E-01
5.36499404994E+07,-1.69676119981E-01
5.37399403994E+07,-1.63028701000E-01
5.38299402994E+07,-1.55415761987E-01
5.39199401994E+07,-1.66030867789E-01
5.40099400994E+07,-1.69404405795E-01
5.40999399994E+07,-1.57737752685E-01
5.41899398994E+07,-1.60204214592E-01
5.42799397994E+07,-1.71347042356E-01
5.43699396994E+07,-1.64270221235E-01
5.44599395994E+07,-1.56675086683E-01
5.45499394994E+07,-1.68151515949E-01
5.46399393994E+07,-1.70735939017E-01
5.47299392994E+07,-1.59154174266E-01
5.48199391994E+07,-1.62081329169E-01
5.49099390994E+07,-1.73070023664E-01
5.49999389994E+07,-1.65912407005E-01
5.50899388994E+07,-1.58765316146E-01
5.51799387994E+07,-1.70215330430E-01
5.52699386994E+07,-1.72687613660E-01
5.53599385994E+07,-1.60936236820E-01
5.54499384994E+07,-1.64389955675E-01
5.55399383994E+07,-1.75599006245E-01
5.56299382994E+07,-1.67552414721E-01
5.57199381994E+07,-1.60692803542E-01
5.58099380994E+07,-1.72991961919E-01
5.58999379994E+07,-1.74663388738E-01
5.59899378994E+07,-1.62524680354E-01
5.60799377994E+07,-1.67073152545E-01
5.61699376994E+07,-1.78017993954E-01
5.62599375994E+07,-1.69469559084E-01
5.63499374994E+07,-1.62909506919E-01
5.64399373994E+07,-1.75439141813E-01
5.65299372994E+07,-1.76893046032E-01
5.66199371994E+07,-1.64623163573E-01
5.67099370994E+07,-1.69661261756E-01
5.67999369994E+07,-1.80531981745E-01
5.68899368994E+07,-1.71646632311E-01
5.69799367994E+07,-1.65402289229E-01
5.70699366994E+07,-1.78085646280E-01
5.71599365994E+07,-1.79013590469E-01
5.72499364994E+07,-1.66400368673E-01
5.73399363994E+07,-1.72439270066E-01
5.74299362994E+07,-1.82920898595E-01
